,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
626,51624,2017,Solano,2018-02-09T09:37:00Z,"Off of Altas Peak Rd, south of Lake Berryessa",Atlas Fire (Southern LNU Complex),2017-10-08T21:52:00Z,0.125850498
627,48889,2017,Kings,2018-01-09T11:51:00Z,"Tar Canyon Road, near Avenal",Garza Fire,2017-07-09T15:10:00Z,0.119183035
628,39715,2017,Siskiyou,2018-01-09T12:42:00Z,"17 miles east of Cave Junction, Oregon",Miller Complex,2017-08-14T14:00:00Z,0.096818389
629,36807,2017,Napa,2018-02-09T09:27:00Z,"off of Hwy 128 and Bennett Ln, Calistoga",Tubbs Fire (Central LNU Complex),2017-10-08T21:45:00Z,0.089729182
630,36807,2017,Sonoma,2018-02-09T09:27:00Z,"off of Hwy 128 and Bennett Ln, Calistoga",Tubbs Fire (Central LNU Complex),2017-10-08T21:45:00Z,0.089729182
631,36556,2017,Tulare,2018-01-09T12:47:00Z,"Highway 190, east of Springville",Pier Fire,2017-08-29T08:29:00Z,0.089117286
632,36523,2017,Mendocino,2018-02-09T08:56:00Z,"North of Hwy 20, west of Mendocino National Forest, south of Black Bart",Redwood Valley Fire (Mendocino Lake Complex),2017-10-08T23:36:00Z,0.089036838
633,28687,2017,San Luis Obispo,2018-01-09T11:46:00Z,Off Highway 166 near Twitchell Reservoir,Alamo Fire,2017-07-06T15:44:00Z,0.069934008
634,27276,2017,Siskiyou,2018-01-09T12:07:00Z,"About 18 miles northwest of Orleans, California in Siskiyou County.",Orleans Complex,2017-07-26T18:00:00Z,0.066494231
635,21846,2017,Trinity,2018-01-09T12:49:00Z,"Hwy 299 near town of Helena, Junction City",Helena - Fork Fire,2017-08-30T18:00:00Z,0.053256818
636,18900,2017,Tulare,2018-01-09T13:27:00Z,Golden Trout Wilderness near Lion Meadow.,Lion Fire,2017-09-27T14:00:00Z,0.046074973
637,18618,2017,Lassen,2018-01-09T12:48:00Z,23 miles east-southeast of Madeline,R-4 Fire,2017-08-30T08:30:00Z,0.045387505
638,18430,2017,Santa Barbara,2018-01-09T11:49:00Z,"Lake Cachuma area, south of Hwy 154",Whittier Fire,2017-07-08T13:43:00Z,0.044929193
639,17357,2017,Sonoma,2018-02-09T09:32:00Z,"off of Pocket Ranch Rd and Ridge Ranch Rd, Geyserville ",Pocket Fire (Central LNU Complex),2017-10-09T03:30:00Z,0.042313402
640,16031,2017,Tulare,2018-01-09T11:01:00Z,Within the 2002 McNally wildfire burn area (17 miles north of Kernville),Schaeffer Fire,2017-06-24T16:16:00Z,0.039080841
